job,application,sub_application,folder,node,status,start,end,created_date,duration_sec,project,job_name,job_project
LIQUIDACAO,RECEPCAO_CRDE,PROCESSADORA,ELO-PRD,"srvpalcvjobsa01.elo.corp:prodcdctm,srvpalcvjobsa02.elo.corp:prodcdctm,srvpalcvjobsa03.elo.corp:prodcdctm,srvpalcvjobsa04.elo.corp:prodcdctm",succeeded,2025-09-01 11:04:19,2025-09-01 11:04:33,2025-09-01,14.0,ELO-PRD,LIQUIDACAO,ELO-PRD::LIQUIDACAO
LIQUIDACAO,RECEPCAO_CRDE,PROCESSADORA,ELO-PRD,"srvpalcvjobsa01.elo.corp:prodcdctm,srvpalcvjobsa02.elo.corp:prodcdctm,srvpalcvjobsa03.elo.corp:prodcdctm,srvpalcvjobsa04.elo.corp:prodcdctm",succeeded,2025-09-01 15:43:24,2025-09-01 15:43:39,2025-09-01,15.0,ELO-PRD,LIQUIDACAO,ELO-PRD::LIQUIDACAO
LIQUIDACAO,RECEPCAO_CRDE,PROCESSADORA,ELO-PRD,"srvpalcvjobsa01.elo.corp:prodcdctm,srvpalcvjobsa02.elo.corp:prodcdctm,srvpalcvjobsa03.elo.corp:prodcdctm,srvpalcvjobsa04.elo.corp:prodcdctm",succeeded,2025-09-02 00:35:18,2025-09-02 00:35:31,2025-09-01,13.0,ELO-PRD,LIQUIDACAO,ELO-PRD::LIQUIDACAO
LIQUIDACAO,RECEPCAO_CRDE,PROCESSADORA,ELO-PRD,"srvpalcvjobsa01.elo.corp:prodcdctm,srvpalcvjobsa02.elo.corp:prodcdctm,srvpalcvjobsa03.elo.corp:prodcdctm,srvpalcvjobsa04.elo.corp:prodcdctm",succeeded,2025-09-01 20:31:57,2025-09-01 20:32:15,2025-09-01,18.0,ELO-PRD,LIQUIDACAO,ELO-PRD::LIQUIDACAO
LIQUIDACAO,RECEPCAO_CRDE,PROCESSADORA,ELO-PRD,"srvpalcvjobsa01.elo.corp:prodcdctm,srvpalcvjobsa02.elo.corp:prodcdctm,srvpalcvjobsa03.elo.corp:prodcdctm,srvpalcvjobsa04.elo.corp:prodcdctm",succeeded,2025-09-01 11:09:11,2025-09-01 11:09:28,2025-09-01,17.0,ELO-PRD,LIQUIDACAO,ELO-PRD::LIQUIDACAO
LIQUIDACAO,RECEPCAO_CRDE,PROCESSADORA,ELO-PRD,srvpconnect01.elo.corp:prodcdctm,failed,2025-09-01 17:50:00,2025-09-01 17:54:48,2025-09-01,288.0,ELO-PRD,LIQUIDACAO,ELO-PRD::LIQUIDACAO
LIQUIDACAO,RECEPCAO_CRDE,PROCESSADORA,ELO-PRD,srvpconnect01.elo.corp:prodcdctm,failed,2025-09-01 19:50:00,2025-09-01 19:54:53,2025-09-01,293.0,ELO-PRD,LIQUIDACAO,ELO-PRD::LIQUIDACAO
LIQUIDACAO,RECEPCAO_CRDE,PROCESSADORA,ELO-PRD,srvpconnect01.elo.corp:prodcdctm,failed,2025-09-01 21:15:00,2025-09-01 21:18:39,2025-09-01,219.0,ELO-PRD,LIQUIDACAO,ELO-PRD::LIQUIDACAO
LIQUIDACAO,RECEPCAO_CRDE,PROCESSADORA,ELO-PRD,srvpconnect01.elo.corp:prodcdctm,succeeded,2025-09-01 20:10:00,2025-09-01 20:14:23,2025-09-01,263.0,ELO-PRD,LIQUIDACAO,ELO-PRD::LIQUIDACAO
LIQUIDACAO,RECEPCAO_CRDE,PROCESSADORA,ELO-PRD,srvpconnect01.elo.corp:prodcdctm,failed,2025-09-01 19:40:00,2025-09-01 19:43:57,2025-09-01,237.0,ELO-PRD,LIQUIDACAO,ELO-PRD::LIQUIDACAO
