TIPO;GRUPO;HUB;AMBIENTE;ORIGEM;STATUS;INICIO;FIM;DATA
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpalcvjobsa01.elo.corp:prodcdctm,srvpalcvjobsa02.elo.corp:prodcdctm,srvpalcvjobsa03.elo.corp:prodcdctm,srvpalcvjobsa04.elo.corp:prodcdctm;succeed;01/09/25 11:04:19;01/09/25 11:04:33;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpalcvjobsa01.elo.corp:prodcdctm,srvpalcvjobsa02.elo.corp:prodcdctm,srvpalcvjobsa03.elo.corp:prodcdctm,srvpalcvjobsa04.elo.corp:prodcdctm;succeed;01/09/25 15:43:24;01/09/25 15:43:39;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpalcvjobsa01.elo.corp:prodcdctm,srvpalcvjobsa02.elo.corp:prodcdctm,srvpalcvjobsa03.elo.corp:prodcdctm,srvpalcvjobsa04.elo.corp:prodcdctm;succeed;02/09/25 00:35:18;02/09/25 00:35:31;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpalcvjobsa01.elo.corp:prodcdctm,srvpalcvjobsa02.elo.corp:prodcdctm,srvpalcvjobsa03.elo.corp:prodcdctm,srvpalcvjobsa04.elo.corp:prodcdctm;succeed;01/09/25 20:31:57;01/09/25 20:32:15;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpalcvjobsa01.elo.corp:prodcdctm,srvpalcvjobsa02.elo.corp:prodcdctm,srvpalcvjobsa03.elo.corp:prodcdctm,srvpalcvjobsa04.elo.corp:prodcdctm;succeed;01/09/25 11:09:11;01/09/25 11:09:28;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 17:50:00;01/09/25 17:54:48;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 19:50:00;01/09/25 19:54:53;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 21:15:00;01/09/25 21:18:39;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;succeed;01/09/25 20:10:00;01/09/25 20:14:23;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 19:40:00;01/09/25 19:43:57;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 18:35:00;01/09/25 18:38:37;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 21:20:00;01/09/25 21:23:43;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 18:15:00;01/09/25 18:18:32;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 11:15:00;01/09/25 11:19:41;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 22:00:00;01/09/25 22:04:46;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 18:20:00;01/09/25 18:24:41;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 20:35:00;01/09/25 20:38:37;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 19:35:00;01/09/25 19:39:42;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 18:55:00;01/09/25 18:58:36;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 19:25:00;01/09/25 19:28:36;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 19:45:00;01/09/25 19:49:13;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 19:10:00;01/09/25 19:14:48;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 20:40:00;01/09/25 20:44:46;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 22:15:00;01/09/25 22:18:41;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 20:00:00;01/09/25 20:03:50;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 19:55:00;01/09/25 19:58:37;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 21:50:00;01/09/25 21:54:47;01/09/25
LIQUIDACAO;RECEPCAO_CRDE;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 19:30:00;01/09/25 19:33:49;01/09/25
